Unnamed: 0,X,commit_id,author_date,bugcount,fixcount,la,ld,nf,nd,ns,ent,revd,nrev,rtime,hcmt,self,ndev,age,nuc,app,aexp,rexp,oexp,arexp,rrexp,orexp,asexp,rsexp,osexp,asawr,rsawr,osawr,churn,buggy,fix,bugdens,strata,project
46,46,0070b452f1c00817dd4a47deb57bfbe6b79c4152,1361547297,8,0,1793,106,17,12,1,0.682409649613051,TRUE,16.0,-11139800.0,48.0,False,41,202273.846153846,218,3.0,198,600.0,635.0,198,600.0,635.0,184,541.0,568.0,0.24699599465954605,0.723631508678238,0.759679572763685,1899,TRUE,FALSE,0.00421274354923644,4,openstack/neutron
48,48,00786bc554a2dfacb3c6f02fbb7e9c98f35d4262,1338278278,0,0,162,139,6,4,2,0.537909531051905,TRUE,2.0,140121.0,7.0,False,61,295465.0,186,2.0,314,202.0,454.0,314,202.0,454.0,260,178.0,387.0,0.16121062384187804,0.110562075355158,0.239654107473749,301,FALSE,FALSE,0.0,1,openstack/nova
50,50,007a1856dd8b5a781a3abe312a023344995162d6,1347632012,0,0,12,6,1,1,1,0.0,TRUE,3.0,532526.0,5.0,False,37,22610.0,74,2.0,0,1014.0,1014.0,0,1011.0,1011.0,0,827.0,827.0,0.000397930760047752,0.329486669319538,0.329486669319538,18,FALSE,FALSE,0.0,3,openstack/nova
56,56,008c3836c95a0183b3e6397a69f1420b0e55ec99,1371785339,0,0,14,14,3,3,1,0.748040513754101,TRUE,3.0,1669221.0,9.0,False,27,67022.3333333333,54,1.0,153,572.0,700.0,153,525.0,653.0,150,520.0,646.0,0.0304128902316213,0.104934541792548,0.13031218529708,28,FALSE,FALSE,0.0,6,openstack/nova
58,58,0094303e36cf1c01db539a1eea7771ebcb4d336a,1346864368,0,0,145,112,0,1,1,0.9880736957984808,TRUE,1.0,5641.0,2.0,False,4,5431534.5,10,2.0,338,167.0,486.0,337,167.0,485.0,3,1.0,4.0,0.0363636363636364,0.0181818181818182,0.0454545454545455,257,FALSE,FALSE,0.0,3,openstack/cinder
59,59,0096ce10390af7a6a2fa3501c55cfbe447eb9ba8,1363684417,0,0,44,4,2,2,1,0.5993142373098089,TRUE,3.0,-9297515.0,10.0,False,3,496045.0,5,3.0,331,609.0,613.0,330,574.0,578.0,303,522.0,526.0,0.35806831566548897,0.6160188457008249,0.620730270906949,48,FALSE,FALSE,0.0,5,openstack/neutron
62,62,0098f12e8b1f035c7ecdb952cfcd4bbae86b6246,1367845613,0,0,1,0,1,1,1,0.0,TRUE,1.0,649652.0,4.0,False,78,53300.0,239,5.0,1738,2204.0,3314.0,1443,1980.0,2876.0,1629,1836.0,2858.0,0.365881032547699,0.412345679012346,0.6417508417508421,1,FALSE,FALSE,0.0,5,openstack/nova
65,65,00a4f63f373af0b87c9c4ba8671720bb8324c80a,1339674144,0,0,2,3,1,1,1,0.0,TRUE,1.0,-33217270.0,4.0,False,4,553804.0,4,3.0,17,64.0,68.0,17,62.0,66.0,16,50.0,53.0,0.163461538461538,0.490384615384615,0.5192307692307689,5,FALSE,FALSE,0.0,2,openstack/neutron
67,67,00ab3d4f36a1e994698f7ab1ecada1cefa72e8db,1366428888,0,0,50,6,4,4,2,0.7536959043595369,TRUE,2.0,829297.0,6.0,False,38,1896954.75,95,2.0,248,225.0,390.0,204,222.0,345.0,242,217.0,380.0,0.552272727272727,0.4954545454545449,0.865909090909091,56,FALSE,FALSE,0.0,5,openstack/swift
70,70,00ac2c725097567ab090079db799e70a6f549794,1325089072,0,0,2,2,1,1,1,0.0,TRUE,2.0,1178310.0,2.0,False,2,1738681.0,1,4.0,127,335.0,335.0,127,335.0,335.0,25,103.0,103.0,0.228070175438596,0.912280701754386,0.912280701754386,4,FALSE,FALSE,0.0,0,openstack/glance
72,72,00aced0ec5ad9520614ba1846d061f9605ace758,1360611514,0,0,38,3,3,3,1,0.871599096005491,TRUE,10.0,255353.0,9.0,False,72,3059808.66666667,183,4.0,136,984.0,1056.0,136,965.0,1037.0,134,904.0,975.0,0.0352941176470588,0.236601307189542,0.25516339869281,41,FALSE,FALSE,0.0,4,openstack/nova
77,77,00c3fde8f841ae20810a8dc86d57f6231f2eba43,1351806741,0,0,5,2,2,2,2,0.8631205685666309,TRUE,4.0,660368.0,9.0,False,8,1126884.0,11,2.0,0,93.0,93.0,0,93.0,93.0,0,90.0,90.0,0.0038314176245210704,0.348659003831418,0.348659003831418,7,FALSE,FALSE,0.0,3,openstack/swift
78,78,00c77e0e9af6ae16484e4bee5f33de1eeb812227,1329158817,0,0,24,18,2,2,1,0.526617065571428,TRUE,2.0,278570.0,4.0,False,28,236682.0,61,3.0,14,644.0,649.0,14,643.0,648.0,14,532.0,537.0,0.0180940892641737,0.6429433051869721,0.64897466827503,42,FALSE,FALSE,0.0,0,openstack/nova
80,80,00cc32ccf6847ef649fbb9c1905f823c91903f44,1367947330,0,0,1,1,1,1,1,0.0,TRUE,3.0,92514.0,5.0,False,10,333088.0,19,2.0,204,119.0,304.0,156,119.0,256.0,92,90.0,164.0,0.117128463476071,0.114609571788413,0.207808564231738,2,FALSE,FALSE,0.0,5,openstack/glance
81,81,00cebe1d57c7cfadc6017a65febd6188630b2456,1374560738,0,0,20,16,2,2,1,0.991076059838222,TRUE,1.0,648700.0,2.0,False,5,1392878.5,8,2.0,133,353.0,449.0,133,347.0,443.0,45,343.0,351.0,0.00858689565055068,0.0642150457345529,0.0657084188911704,36,FALSE,FALSE,0.0,6,openstack/nova
82,82,00d65fa8bf83c2e9e5937108cbbf096918bbd23f,1343179910,0,0,11,6,1,1,1,0.0,TRUE,4.0,57411.0,7.0,False,1,1229338.0,2,3.0,66,723.0,759.0,66,723.0,759.0,32,514.0,535.0,0.0167427701674277,0.26128868594622,0.271943176052765,17,FALSE,FALSE,0.0,2,openstack/nova
84,84,00dd97c7e9a852f4abd6e8460a0d094c01d3d0ba,1347205765,1,0,103,56,5,4,1,0.574483013459184,TRUE,3.0,-25781966.0,7.0,False,21,298129.8,69,2.0,42,217.0,231.0,42,217.0,231.0,40,209.0,222.0,0.128125,0.65625,0.696875,159,TRUE,FALSE,0.006289308176100629,3,openstack/neutron
86,86,00f0b170ec15299b20c345fa1f66f21185c2dc79,1345050439,0,0,20,15,4,3,1,0.7291406475261191,TRUE,2.0,30452.0,15.0,False,35,123583.0,82,2.0,318,1554.0,1742.0,317,1553.0,1740.0,235,1473.0,1582.0,0.104286345558992,0.651347768448962,0.6995139195757839,35,FALSE,FALSE,0.0,2,openstack/nova
89,89,00f66513690153125713fa4c48907387d8321b4a,1360076041,0,0,26,3,3,3,1,0.710182862816415,TRUE,2.0,139953.0,2.0,False,76,18826.0,239,2.0,265,1512.0,1692.0,244,1343.0,1507.0,228,1308.0,1458.0,0.0608395324123273,0.347768331562168,0.387619553666312,29,FALSE,FALSE,0.0,4,openstack/nova
91,91,00f9d718d2d746ca8664290b79c852bb91fca1cc,1377899815,0,0,9,9,3,3,1,0.9057125980138372,TRUE,6.0,865728.0,14.0,False,34,6449.0,127,3.0,53,360.0,412.0,53,342.0,394.0,2,295.0,296.0,0.00523560209424084,0.5165794066317629,0.518324607329843,18,FALSE,FALSE,0.0,7,openstack/swift
95,95,00ff9367f25d34ea43aceb40a6146d8d53e5c06f,1379572499,0,0,10,2,2,2,1,0.9798687566511528,TRUE,9.0,17524287.0,19.0,False,23,241535.0,46,2.0,8,303.0,307.0,8,230.0,234.0,5,170.0,171.0,0.00625,0.178125,0.17916666666666695,12,FALSE,FALSE,0.0,7,openstack/glance
100,100,0109231fcdb3c9e850afef82ba27090a4a0178af,1362403264,2,0,101,9,9,5,1,0.7201717461059519,TRUE,6.0,-10201285.0,18.0,False,31,208716.888888889,112,2.0,207,622.0,661.0,207,622.0,661.0,193,561.0,592.0,0.244949494949495,0.7095959595959599,0.7487373737373741,110,TRUE,FALSE,0.0181818181818182,5,openstack/neutron
101,101,0109cc967c0a8adb9073b6e89276312cb5a95bc4,1369770429,1,0,135,64,9,5,1,0.7365872180519929,TRUE,8.0,639354.0,12.0,False,0,0.0,0,5.0,10,458.0,460.0,10,452.0,454.0,0,8.0,8.0,0.0909090909090909,0.818181818181818,0.818181818181818,199,TRUE,FALSE,0.0050251256281407,5,openstack/neutron
103,103,010bd1f392e67a6fcd276593b8c79acfe41d1cc7,1378720692,1,0,111,16,2,2,1,0.9762101424373008,TRUE,12.0,17838304.0,37.0,False,5,1058616.5,6,5.0,97,1220.0,1223.0,66,1097.0,1100.0,7,273.0,273.0,0.026578073089701,0.910299003322259,0.910299003322259,127,TRUE,FALSE,0.0078740157480315,7,openstack/neutron
104,104,010c0801bdf6172690451c4e4364af7196f8e54f,1389163821,0,0,388,222,17,10,1,0.9293872006568148,TRUE,25.0,10158310.0,29.0,False,62,534674.7647058821,224,2.0,11,392.0,394.0,11,299.0,301.0,11,268.0,270.0,0.0108892921960073,0.24410163339382895,0.24591651542649695,610,FALSE,FALSE,0.0,8,openstack/glance
106,106,010f130acee3e5253a0c687aaf6ee8849e099982,1374776455,0,0,1,1,1,1,1,0.0,TRUE,5.0,360122.0,10.0,False,31,166328.0,70,2.0,17,2098.0,2115.0,17,1703.0,1720.0,2,1860.0,1862.0,0.0005562766549230482,0.34507695160393104,0.34544780270721304,2,FALSE,FALSE,0.0,6,openstack/nova
107,107,010f8b14041090fe8a1ea57956b8d66dc382ecfe,1331157487,0,0,3,10,6,3,1,0.895883144486481,TRUE,2.0,70406.0,6.0,False,42,63168.0,129,3.0,211,595.0,708.0,211,595.0,708.0,194,503.0,603.0,0.18258426966292104,0.4719101123595511,0.565543071161049,13,FALSE,FALSE,0.0,1,openstack/nova
108,108,010fe685e50a3680d8c8b9b6602677df90e815b3,1379327003,0,0,170,26,4,2,1,0.937904214910941,TRUE,11.0,1217297.0,16.0,False,3,1034078.25,5,4.0,4,626.0,628.0,4,607.0,609.0,2,567.0,567.0,0.00300902708124373,0.569709127382146,0.569709127382146,196,FALSE,FALSE,0.0,7,openstack/cinder
113,113,0118103eec9f770fd9013d61f17865598db3737e,1393392484,0,0,200,58,13,7,1,0.827870606602346,TRUE,11.0,3596793.0,14.0,False,58,972798.230769231,158,2.0,77,332.0,373.0,54,228.0,255.0,60,209.0,236.0,0.0520477815699659,0.17918088737201396,0.20221843003413,258,FALSE,FALSE,0.0,8,openstack/glance
114,114,01194b356e39e3b0affca67015efb7634bf28697,1380128821,0,0,15,0,2,2,1,0.836640741941167,TRUE,4.0,1385738.0,7.0,False,8,694280.0,9,3.0,207,995.0,995.0,149,882.0,882.0,6,293.0,293.0,0.0182767624020888,0.7676240208877281,0.7676240208877281,15,FALSE,FALSE,0.0,7,openstack/neutron
116,116,011d99f300ea5d5f4ce48023bd04a795a4872287,1369792347,3,1,87,47,2,2,1,0.9635359835770292,TRUE,35.0,24155803.0,97.0,False,1,2387698.5,1,13.0,1,746.0,746.0,1,737.0,737.0,0,10.0,10.0,0.0833333333333333,0.916666666666667,0.916666666666667,134,TRUE,TRUE,0.0223880597014925,5,openstack/neutron
117,117,011e6353afbd662d3f53454e6ef96829c0705b8d,1371796986,0,0,15,15,3,3,1,0.742402212655077,TRUE,5.0,1933988.0,5.0,False,26,1472.0,55,1.0,158,1277.0,1371.0,158,1191.0,1285.0,155,1196.0,1288.0,0.0313693947315504,0.24069977880555,0.259199678262618,30,FALSE,FALSE,0.0,6,openstack/nova
125,125,0132be46bc9b4bb1b3bf77a623cc1d3b7e9307ea,1390969859,0,0,5,36,3,3,1,0.7750020439755891,TRUE,2.0,172203.0,4.0,False,33,914923.666666667,105,3.0,1127,1440.0,1440.0,942,1255.0,1255.0,983,989.0,989.0,0.719298245614035,0.7236842105263158,0.7236842105263158,41,FALSE,FALSE,0.0,8,openstack/cinder
129,129,013e3b2b1bd8c82a05062bce186d240ffd42bd42,1386798761,0,0,39,39,4,4,1,0.8211857243719509,TRUE,1.0,2987055.0,5.0,False,199,49.0,704,5.0,74,3508.0,3571.0,74,2739.0,2802.0,20,2457.0,2469.0,0.0030728709394205397,0.35967222709979496,0.36142815335089296,78,FALSE,FALSE,0.0,8,openstack/nova
131,131,014499acf5d6d6a557c9415aa49c536817a02a0a,1361478518,0,0,9,0,2,2,1,0.991076059838222,TRUE,2.0,111554.0,5.0,False,3,1866716.0,4,2.0,485,1108.0,1526.0,434,1098.0,1465.0,345,1051.0,1335.0,0.0874178878221324,0.26579080343607897,0.33754421424962106,9,FALSE,FALSE,0.0,4,openstack/nova
135,135,014d3f9ee378a0c621c2ad1fad4c7338349b98ff,1341695417,0,0,259,46,5,5,3,0.607465114453901,TRUE,10.0,3983952.0,12.0,False,50,1598164.66666667,125,2.0,57,814.0,847.0,57,813.0,846.0,25,279.0,293.0,0.0542797494780793,0.5845511482254699,0.613778705636743,305,FALSE,FALSE,0.0,2,openstack/glance
136,136,014f67a2769720f4833bba74343cedf0e894151c,1328049743,0,0,1,1,1,1,1,0.0,TRUE,2.0,82591.0,4.0,False,32,10451.0,42,3.0,28,352.0,366.0,28,352.0,366.0,20,273.0,282.0,0.0305676855895196,0.3988355167394471,0.41193595342067,2,FALSE,FALSE,0.0,0,openstack/nova
137,137,015555acb75ee4d9298915951d2bfaf0d19d2b02,1386147080,2,1,498,219,4,2,1,0.471721031554951,TRUE,52.0,4688621.0,50.0,False,8,480479.25,18,2.0,52,441.0,481.0,48,440.0,476.0,45,414.0,450.0,0.0377049180327869,0.340163934426229,0.36967213114754105,717,TRUE,TRUE,0.00278940027894003,8,openstack/cinder
138,138,0156ec175cc047826b211727d43d5d14a3e1f2d2,1361800254,0,0,32,13,10,9,1,0.752589131847907,TRUE,1.0,-11005867.0,5.0,False,39,242937.1,248,3.0,65,594.0,611.0,65,580.0,597.0,64,543.0,560.0,0.0858652575957728,0.718626155878468,0.7410832232496701,45,FALSE,FALSE,0.0,4,openstack/neutron
139,139,0158304b1dccf56a98194948a8b8bb803c117a44,1363701979,0,0,62,0,0,1,1,0.0,FALSE,,,,,0,0.0,0,,0,,,0,,,0,,,0.0,0.0,0.0,62,FALSE,FALSE,0.0,5,openstack/nova
141,141,015f2a2f2ec2d0d2d92273c0958aa918d38c5086,1360569616,0,0,36,30,3,3,1,0.549555077414464,TRUE,1.0,78339.0,2.0,False,4,41132.0,11,2.0,100,412.0,419.0,100,410.0,417.0,92,310.0,316.0,0.273529411764706,0.9147058823529408,0.9323529411764708,66,FALSE,FALSE,0.0,4,openstack/cinder
142,142,01627ff0bf522deb8c2a838724f88cd2506ca626,1363093329,0,0,2,0,1,1,1,0.0,TRUE,1.0,86049.0,4.0,False,9,2125913.0,57,2.0,912,976.0,1744.0,809,929.0,1600.0,728,934.0,1524.0,0.176086956521739,0.22584541062801894,0.36835748792270506,2,FALSE,FALSE,0.0,5,openstack/nova
144,144,0165ff51f9b9a45dcab0418be24d3c8cab31ab5f,1372720023,2,0,180,70,17,8,1,0.933870029022028,TRUE,25.0,1507528.0,10.0,False,178,154.0,1087,2.0,813,385.0,1133.0,626,379.0,941.0,789,369.0,1095.0,0.154327016995507,0.0722797421371362,0.21410431724946305,250,TRUE,FALSE,0.008,6,openstack/nova
148,148,016e22469a3ca111a1562db6d04fae20febf2dbb,1377921672,0,0,19,3,3,3,2,0.8342022886441011,TRUE,2.0,314380.0,4.0,False,18,72413.3333333333,34,2.0,125,352.0,427.0,118,334.0,402.0,67,347.0,364.0,0.104134762633997,0.532924961715161,0.55895865237366,22,FALSE,FALSE,0.0,7,openstack/swift
149,149,016e39734e1b70c1b004f1ae366c22b091463932,1380036533,0,1,26,27,6,2,1,0.8638270742092241,TRUE,2.0,9807.0,4.0,False,22,74390.0,36,2.0,136,1018.0,1126.0,136,865.0,973.0,0,8.0,8.0,0.0212765957446809,0.191489361702128,0.191489361702128,53,FALSE,TRUE,0.0,7,openstack/nova
153,153,0185a36c40259c47d2647ba1dd5275f4088e525d,1389830110,0,0,35,21,3,3,1,0.648001619049965,TRUE,10.0,1243216.0,18.0,False,188,427.0,747,3.0,1016,2999.0,3412.0,887,2360.0,2708.0,997,2878.0,3274.0,0.14127972819932,0.407559456398641,0.463618346545866,56,FALSE,FALSE,0.0,8,openstack/nova
154,154,0185d2445f6db7278ba3a02ace597717ccdbd6b3,1392832096,0,0,8,9,2,2,1,0.873981048127358,TRUE,3.0,1037118.0,10.0,False,200,300354.0,1118,4.0,56,3572.0,3581.0,55,2916.0,2925.0,51,2634.0,2640.0,0.007035583818157221,0.356514680016236,0.3573264781491,17,FALSE,FALSE,0.0,8,openstack/nova
155,155,018ba6302b0f5b909e9f32f44a14c21313a2663e,1385448857,0,1,40,8,4,3,1,0.898089845973749,TRUE,2.0,513931.0,8.0,False,69,345523.0,183,6.0,34,1348.0,1354.0,34,1191.0,1197.0,29,1175.0,1176.0,0.0251256281407035,0.984924623115578,0.9857621440536012,48,FALSE,TRUE,0.0,7,openstack/cinder
157,157,01903933dba6f5ae667487300b947e5c36f8b033,1392613818,0,1,82,82,17,7,1,0.905374098593239,TRUE,3.0,779489.0,9.0,False,78,630513.2352941179,278,2.0,14,295.0,309.0,14,294.0,308.0,0,258.0,258.0,0.000864304235090752,0.223854796888505,0.223854796888505,164,FALSE,TRUE,0.0,8,openstack/glance
158,158,0192898e30035028b002f9aed3199be69a18efb3,1393252594,0,1,25,4,4,3,1,0.7849091749117741,TRUE,3.0,3948616.0,18.0,False,224,28498.0,759,4.0,22,2657.0,2660.0,22,2288.0,2291.0,22,1756.0,1759.0,0.00309722596283329,0.236601131160786,0.237005117155939,29,FALSE,TRUE,0.0,8,openstack/nova
159,159,01985dd44d1b29c7ad7cb0932a1d30f7b6fe1911,1343342751,1,0,50,42,4,2,1,0.79985643810661,TRUE,1.0,58552.0,2.0,False,63,2886.0,277,2.0,262,561.0,719.0,262,561.0,719.0,230,451.0,594.0,0.114413075780089,0.22387320455671106,0.29470034670629,92,TRUE,FALSE,0.0108695652173913,2,openstack/nova
163,163,01a25e9890b957aef307b1bda22603f72cac12bf,1360240682,0,0,208,0,3,5,1,0.613643243407397,TRUE,13.0,5015909.0,19.0,False,43,28012.8,157,2.0,8,1529.0,1532.0,8,1377.0,1380.0,8,1323.0,1326.0,0.00237592397043295,0.34952481520591305,0.350316789862724,208,FALSE,FALSE,0.0,4,openstack/nova
164,164,01a44568cc60bb5a6dd7b55d69b20bba57d1b94b,1378455926,1,1,28,1,2,2,1,0.216396932451265,TRUE,6.0,3789279.0,11.0,False,21,345612.0,45,5.0,205,3458.0,3551.0,205,2876.0,2969.0,117,2436.0,2515.0,0.0198252688172043,0.40944220430107503,0.4227150537634411,29,TRUE,TRUE,0.0344827586206897,7,openstack/nova
166,166,01a938f7fe4dea274713e49f124fcc45702f80a0,1331023987,4,0,375,357,66,26,4,0.885077155986183,TRUE,8.0,201051.0,25.0,False,89,108144.66666666699,425,3.0,6,692.0,693.0,6,692.0,693.0,6,603.0,604.0,0.0062780269058296,0.5417040358744389,0.5426008968609871,732,TRUE,FALSE,0.00546448087431694,1,openstack/nova
167,167,01a977b66958ec1d03964bbe3aaf218ff044232b,1366762267,0,0,26,3,2,2,1,0.957553483714748,TRUE,3.0,-6267718.0,12.0,False,5,1558947.0,9,2.0,297,425.0,636.0,281,409.0,605.0,278,359.0,556.0,0.30760749724366,0.396912899669239,0.614112458654906,29,FALSE,FALSE,0.0,5,openstack/neutron
168,168,01aa0f25d8d30050c3216d85011e166bb0358b6d,1347068084,2,0,94,27,4,2,1,0.8482194520027441,TRUE,3.0,-25784290.0,5.0,False,3,43371.2,7,2.0,33,297.0,312.0,33,296.0,311.0,24,253.0,259.0,0.0825082508250825,0.8382838283828381,0.8580858085808579,121,TRUE,FALSE,0.0165289256198347,3,openstack/neutron
170,170,01afc61e6201ea22926f27e82280f0b3c6f2362f,1322641653,0,0,2,4,1,1,1,0.0,TRUE,1.0,102656.0,2.0,False,4,707263.0,6,2.0,96,105.0,181.0,96,105.0,181.0,64,101.0,146.0,0.224137931034483,0.351724137931034,0.506896551724138,6,FALSE,FALSE,0.0,0,openstack/nova
171,171,01b0f6554be87a0664e74c63817c3034ee40a6ac,1367131882,1,0,28,248,6,6,1,0.61683180411168,TRUE,3.0,201955.0,7.0,False,179,313599.142857143,953,2.0,912,1501.0,2232.0,879,1233.0,1937.0,876,1306.0,2006.0,0.198731021980512,0.29617040561976,0.4547926580557439,276,TRUE,FALSE,0.0036231884057971,5,openstack/nova
174,174,01b87a1ae18d3c5098163c2558da884c880c9749,1371484892,0,0,55,6,4,3,1,0.74235286120563,TRUE,11.0,1563805.0,15.0,False,123,6790.2,480,3.0,13,1949.0,1955.0,13,1702.0,1708.0,11,1844.0,1849.0,0.0024524831391784198,0.377069282648682,0.378091150623339,61,FALSE,FALSE,0.0,6,openstack/nova
179,179,01c54d96ab7b0fda61b3b81c56022f14a39e1916,1362665517,0,0,135,1,1,3,2,0.6723471099386249,TRUE,17.0,6683586.0,25.0,False,0,0.0,0,2.0,5,387.0,390.0,5,350.0,353.0,2,258.0,258.0,0.004149377593360999,0.3582295988934989,0.3582295988934989,136,FALSE,FALSE,0.0,5,openstack/glance
180,180,01c654e2ef6db17e677d5e9a0d8e781d374bdbbe,1340301022,0,0,4,4,2,2,1,0.811278124459133,TRUE,2.0,360479.0,3.0,False,48,75085.0,104,2.0,99,754.0,806.0,99,754.0,806.0,91,719.0,763.0,0.0538957234915056,0.421792618629174,0.447568834212068,8,FALSE,FALSE,0.0,2,openstack/nova
