,commit_id,author_date,bugcount,fixcount,la,ld,nf,nd,ns,ent,revd,nrev,rtime,hcmt,self,ndev,age,nuc,app,aexp,rexp,oexp,arexp,rrexp,orexp,asexp,rsexp,osexp,asawr,rsawr,osawr,churn,buggy,fix,bugdens,strata
1202,8a1d02194324ac564c060412d85e924f5dc86a89,1393895330,2.0,0.0,768,46,10,7,1,0.744756418288253,false,,,,,14,4359784.2,20,,191,,,189,,,166,,,0.187010078387458,0.653975363941769,0.715565509518477,814,TRUE,FALSE,0.002457002457002457,0
1300,9730c185847e1cc3fe0ced10f98a14a112e23a07,1395443840,2.0,1.0,4,67,14,11,1,0.922970299999434,false,,,,,45,397152.5,146,,519,,,420,,,262,,,0.2568359375,0.681640625,0.76171875,71,TRUE,TRUE,0.028169014084507043,0
1315,98fb5e56ef96c0c6a8754276e5f8c9c0b7e50fed,1396358664,2.0,0.0,18,0,2,2,1,0.76420450650862,false,,,,,58,492201,158,,1878,,,1556,,,976,,,0.126505244076136,0.156027450472614,0.233976434028227,18,TRUE,FALSE,0.1111111111111111,0
1336,9b2b5e1482ebec818556946230066984bf647186,1396905960,2.0,0.0,63,47,4,4,1,0.570050105273437,false,,,,,24,481098.75,36,,668,,,516,,,315,,,0.285456187895212,0.219512195121951,0.459801264679313,110,TRUE,FALSE,0.01818181818181818,0
1462,a982743e88b225fae357198ded13b640c64910b7,1399493298,2.0,0.0,170,6,1,1,1,0,false,,,,,14,18647,21,,372,,,250,,,326,,,0.0411424257674887,0.20093105183694,0.20093105183694,176,TRUE,FALSE,0.011363636363636364,0
1542,b2f65d9d447ddf2caf3b9c754bd00a5148bdf12c,1395631890,2.0,1.0,86,20,6,4,1,0.886502745553426,false,,,,,38,560211.5,59,,201,,,186,,,159,,,0.155793573515093,0.59396299902629,0.692307692307692,106,TRUE,TRUE,0.018867924528301886,0
1646,bfefe6317fde87f8ca7a4d28bed11d99f7029186,1319934008,2.0,0.0,345,5,4,2,1,0.555831414649359,false,,,,,0,0,0,,0,,,0,,,0,,,0.00740740740740741,0.340740740740741,0.340740740740741,350,TRUE,FALSE,0.005714285714285714,0
1679,c2634fa580b9b5e1c55bb6dc7eb02f0de989d747,1397827832,2.0,0.0,1135,1061,80,32,1,0.761403036603398,false,,,,,93,126149.2625,347,,45,,,45,,,45,,,0.0398959236773634,0.330442324371206,0.358196010407632,2196,TRUE,FALSE,9.107468123861566E-4,0
2187,f83b2ef4fc042d8559b1f75dbe949460f2843c7e,1394074960,2.0,1.0,254,321,7,5,1,0.849559063024679,false,,,,,20,403434,37,,12,,,12,,,12,,,0.0143805309734513,0.782079646017699,0.785398230088496,575,TRUE,TRUE,0.0034782608695652175,0
37,057138540df2b067bd3cd2857cceb97d1ecd86d0,1320256725,1.0,0.0,26,35,7,7,1,0.777291661136269,false,,,,,21,267619.285714286,43,,68,,,68,,,66,,,0.443708609271523,0.145695364238411,0.529801324503311,61,TRUE,FALSE,0.01639344262295082,0
45,0756cf8ec3f2c73b4141b4b6dc597e82e47de669,1396621130,1.0,1.0,25,3,2,2,1,0.591672778582327,false,,,,,70,1292836,144,,58,,,58,,,45,,,0.029449423815621,0.265685019206146,0.283610755441741,28,TRUE,TRUE,0.03571428571428571,0
59,083481d7e003e8b7aff0101bc3bc467024d6d488,1396638876,1.0,0.0,261,102,7,4,1,0.649539878356909,false,,,,,4,1231229,6,,233,,,229,,,208,,,0.190693430656934,0.239963503649635,0.367700729927007,363,TRUE,FALSE,0.0027548209366391185,0
82,0a153537fbd06b39c10e8b5abc0957f072e4dcf6,1399399894,1.0,0.0,23,24,2,2,1,0.999673426004892,false,,,,,166,52119,526,,1234,,,1014,,,1215,,,0.153187200806248,0.346812799193752,0.422776518014613,47,TRUE,FALSE,0.02127659574468085,0
108,0d36d2bf9eba28123c172fd24780f0ebe95db10a,1320158871,1.0,0.0,318,576,9,3,1,0.920858270729323,false,,,,,6,455002.333333333,8,,15,,,15,,,13,,,0.100719424460432,0.618705035971223,0.661870503597122,894,TRUE,FALSE,0.0011185682326621924,0
119,0e44b7b5418c400af7358a5391f350f2f737929e,1399475142,1.0,1.0,59,33,7,6,1,0.749716953368227,false,,,,,62,384967.142857143,127,,21,,,21,,,21,,,0.0180772391125719,0.233360723089564,0.239934264585045,92,TRUE,TRUE,0.010869565217391304,0
120,0e44ba4c273f41195d0361d3c48df76e2e5add76,1393899483,1.0,1.0,51,3,3,2,1,0.860659204343326,false,,,,,22,320246,56,,2,,,2,,,2,,,0.00200803212851406,0.546184738955823,0.546854082998661,54,TRUE,TRUE,0.018518518518518517,0
122,0e889bbb8283a539177a21f063db9034a5310ee7,1397000263,1.0,0.0,2,2,1,1,1,0,false,,,,,8,367331,17,,673,,,520,,,320,,,0.28686327077748,0.324396782841823,0.474530831099196,4,TRUE,FALSE,0.25,0
132,0f2f768578900a7ca74091ab400bd9facce9eaf9,1398366701,1.0,0.0,24,8,2,2,1,0.857148437428372,false,,,,,7,538869,10,,321,,,298,,,253,,,0.215619694397284,0.629032258064516,0.668081494057725,32,TRUE,FALSE,0.03125,0
133,0fab78825ef06310926181f6f97d377058b56b97,1316908176,1.0,0.0,1429,1029,34,12,1,0.713664623477719,false,,,,,10,53527.8823529412,11,,10,,,10,,,10,,,0.407407407407407,0.555555555555556,0.703703703703704,2458,TRUE,FALSE,4.068348250610252E-4,0
159,12e18219c149b6c7eef79c042b35be7aef7c3cb5,1394140711,1.0,0.0,68,18,4,3,1,0.486586109054297,false,,,,,55,698262.25,98,,703,,,602,,,207,,,0.0276265108248107,0.32846327533537,0.342674990038518,86,TRUE,FALSE,0.011627906976744186,0
217,1959092bca5646306cfec5303f43627e78f6e2d4,1393932431,1.0,1.0,113,126,2,2,1,0.89751981825457,false,,,,,6,7751950.5,9,,36,,,36,,,28,,,0.032329988851728,0.452619843924192,0.455964325529543,239,TRUE,TRUE,0.0041841004184100415,0
256,1dd0bdc06dedf0f577d220f4c1a1f9f43f04a0fe,1398993393,1.0,0.0,14,1,2,2,1,0.566509506552905,false,,,,,18,1165561,32,,19,,,19,,,19,,,0.0166805671392827,0.462051709758132,0.46371976647206,15,TRUE,FALSE,0.06666666666666667,0
263,1e4d070a5b638de58c87363b18a76171dcd0ce38,1395080182,1.0,2.0,31,59,3,2,1,0.738208874898732,false,,,,,11,1786151.66666667,30,,6,,,6,,,6,,,0.00456919060052219,0.811357702349869,0.81331592689295,90,TRUE,TRUE,0.011111111111111112,0
275,1f72931d5b6a805df539d58036a5b3dc0437b597,1396315137,1.0,0.0,48,4,3,3,1,0.573571308439671,false,,,,,10,4056953.33333333,21,,86,,,86,,,84,,,0.0110146429959829,0.274458986652844,0.277828171569263,52,TRUE,FALSE,0.019230769230769232,0
277,2014300886215452e5753529c68712d075cba57d,1394579770,1.0,0.0,4,3,2,2,1,0.863120568566631,false,,,,,2,694648,3,,632,,,487,,,281,,,0.298728813559322,0.383474576271186,0.521186440677966,7,TRUE,FALSE,0.14285714285714285,0
334,25d9de61a46c0c39c85b014ab8e2490a31ddeb1a,1381772245,1.0,0.0,0,0,2,1,1,0,false,,,,,12,934985,39,,142,,,141,,,125,,,0.115596330275229,0.611926605504587,0.653211009174312,0,TRUE,FALSE,Infinity,0
355,27962a897c4b77fcb912d5bdd349f14d0a21b011,1397795594,1.0,0.0,30,0,8,8,1,0.996632698488096,false,,,,,71,1020869,382,,18,,,16,,,18,,,0.00242594484167518,0.25076608784474,0.251404494382022,30,TRUE,FALSE,0.03333333333333333,0
409,2da351af7d2a10a3055020d572d357c56ba2689b,1396783747,1.0,1.0,27,1,2,2,1,0.676941869780886,false,,,,,4,3033320,4,,66,,,66,,,57,,,0.0527272727272727,0.504545454545455,0.537272727272727,28,TRUE,TRUE,0.03571428571428571,0
410,2db7528ca258d7b0c1205ab2f9a76569d9f9a82d,1399474651,1.0,0.0,49,10,3,2,1,0.484142234863614,false,,,,,62,78831,181,,17,,,17,,,17,,,0.00226586102719033,0.381419939577039,0.381419939577039,59,TRUE,FALSE,0.01694915254237288,0
426,2ff233a1d14c4f0ff4ffc7df41e1d86df12a250f,1396979725,1.0,0.0,1,1,1,1,1,0,false,,,,,66,3532487,155,,237,,,213,,,215,,,0.137931034482759,0.691570881226054,0.740102171136654,2,TRUE,FALSE,0.5,0
445,322fa884eae50893aaa6ac2c4c8c862879d2a0db,1397530490,1.0,0.0,721,234,8,7,1,0.876890590476366,false,,,,,37,564627.25,63,,11,,,11,,,11,,,0.0105263157894737,0.200877192982456,0.202631578947368,955,TRUE,FALSE,0.0010471204188481676,0
452,32bac00ea003015add0d33be262cb3002e4c43af,1398720647,1.0,1.0,35,7,2,2,1,0.863120568566631,false,,,,,18,603105,78,,226,,,210,,,216,,,0.135709818636648,0.386491557223265,0.480925578486554,42,TRUE,TRUE,0.023809523809523808,0
466,340cae5466eaf5568c4f0eecb2a2fa7cdbcc0ba4,1400242886,1.0,0.0,39,1,2,2,1,0.909736122531166,false,,,,,187,481436,977,,16,,,12,,,16,,,0.00212686100337796,0.152383335418491,0.154009758538721,40,TRUE,FALSE,0.025,0
539,3d6381fd524f980d32d7129292372b0707d479a0,1395173487,1.0,0.0,10,0,2,2,1,0.468995593589281,false,,,,,3,3574,7,,53,,,53,,,45,,,0.046046046046046,0.32032032032032,0.327327327327327,10,TRUE,FALSE,0.1,0
566,40390598c5a440d1bbfa4f229130eeedf5cd4dba,1393907095,1.0,1.0,7,40,6,3,1,0.938081141237687,false,,,,,41,1008723.66666667,77,,90,,,90,,,84,,,0.0949720670391061,0.774301675977654,0.792178770949721,47,TRUE,TRUE,0.02127659574468085,0
575,4111e3586de88d5d580e6f11bafb644ff9144400,1394814107,1.0,0.0,1,1,1,1,1,0,false,,,,,180,43998,920,,5,,,5,,,3,,,0.000525762355415352,0.418112513144059,0.418375394321767,2,TRUE,FALSE,0.5,0
590,42300518eab9982596a5eb774cf65a2d04e00395,1316721723,1.0,0.0,241,0,4,3,1,0.575444527133518,false,,,,,8,193344,17,,0,,,0,,,0,,,0.0227272727272727,0.613636363636364,0.613636363636364,241,TRUE,FALSE,0.004149377593360996,0
616,446d433f6fea7624acae371189239a82c94ad455,1397787673,1.0,0.0,2,1,1,1,1,0,false,,,,,42,1225622,65,,235,,,121,,,222,,,0.028476567488188,0.505554846124378,0.522666326139701,3,TRUE,FALSE,0.3333333333333333,0
633,466e89970f11918a809aafe8a048d138d4664299,1406047807,1.0,1.0,17,1,2,2,1,0.76420450650862,false,,,,,8,7095044,11,,0,,,0,,,0,,,0.0008058017727639,0.225624496373892,0.225624496373892,18,TRUE,TRUE,0.05555555555555555,0
673,4d24d23fa0903957c7d124a38f2578fcaa1f2491,1394588023,1.0,0.0,82,36,3,3,1,0.73728155462536,false,,,,,108,1018606.33333333,327,,1133,,,953,,,1114,,,0.147175290390708,0.271251319957761,0.354408658922914,118,TRUE,FALSE,0.00847457627118644,0
676,4d4fb7168dffe387a558bec0e87adc17e3afa3bd,1395243394,1.0,0.0,46,148,9,2,1,0.871944525636435,false,,,,,69,225919.777777778,204,,1151,,,965,,,1132,,,0.148279021070541,0.151943462897526,0.266457269990839,194,TRUE,FALSE,0.005154639175257732,0
698,501ceec8b96ba70df4bce0f5aff33a2bb1aabbac,1395652380,1.0,1.0,27,4,2,2,1,0.708835673332196,false,,,,,209,223320,1164,,60,,,59,,,55,,,0.00730212544008345,0.389881340461599,0.390663711044465,31,TRUE,TRUE,0.03225806451612903,0
736,53db059772d8c89facd17970fc967ef2fa1866c5,1318268662,1.0,0.0,79,113,5,2,1,0.605694284468016,false,,,,,9,1321128,12,,52,,,52,,,47,,,0.872727272727273,0.727272727272727,1,192,TRUE,FALSE,0.005208333333333333,0
748,551cad4c7bf7043c8942319fc46e58d851051b2c,1394662728,1.0,1.0,47,15,2,2,1,0.823811633312317,false,,,,,4,760083,7,,66,,,66,,,59,,,0.0504201680672269,0.243697478991597,0.246218487394958,62,TRUE,TRUE,0.016129032258064516,0
759,56d8234a872507d95ecb8a98caefb6f60677e6d9,1397164292,1.0,0.0,35,298,8,3,1,0.791834713605158,false,,,,,5,1589849.5,8,,22,,,21,,,18,,,0.0168141592920354,0.641592920353982,0.641592920353982,333,TRUE,FALSE,0.003003003003003003,0
778,59a6cf233b538d6666740de4796fce25ed8265aa,1399625237,1.0,1.0,83,20,5,4,1,0.561189793852497,false,,,,,68,81270,218,,77,,,60,,,77,,,0.00979899497487437,0.148869346733668,0.157035175879397,103,TRUE,TRUE,0.009708737864077669,0
801,5c6ff449bbd7386f0f3e41efc524024434f325df,1395732617,1.0,1.0,25,2,2,2,1,0.950956048454972,false,,,,,15,687086,22,,1133,,,965,,,674,,,0.655339805825243,0.833009708737864,0.833009708737864,27,TRUE,TRUE,0.037037037037037035,0
808,5d782b33b772987b472ae5aeb5ec13e1bd30335f,1394160618,1.0,1.0,29,3,3,3,1,0.465666329464423,false,,,,,15,395219,23,,5,,,5,,,5,,,0.00652173913043478,0.732608695652174,0.734782608695652,32,TRUE,TRUE,0.03125,0
821,5eddb2e2245e9c42f458de201ade166b727ee8f4,1394211334,1.0,1.0,135,13,2,2,1,0.998814114829356,false,,,,,11,2004716,28,,57,,,51,,,50,,,0.0337748344370861,0.283443708609272,0.309933774834437,148,TRUE,TRUE,0.006756756756756757,0
824,5f00cad02da1093d71f636add0810a538cbd444f,1396989934,1.0,1.0,33,40,2,2,1,0.576291461217437,false,,,,,22,696167,55,,373,,,211,,,35,,,0.02297383535418,0.423101467772814,0.434588385449904,73,TRUE,TRUE,0.0136986301369863,0
857,624353b2a5290e3a3f481e41bd6bc14afb1b21b3,1399384591,1.0,1.0,19,10,2,2,1,0.929363626013719,false,,,,,28,1453136,42,,2,,,2,,,2,,,0.00247116968698517,0.629324546952224,0.629324546952224,29,TRUE,TRUE,0.034482758620689655,0
863,62cb0dc6257daac5ec9fd1a90ee5721e6543dd76,1394570334,1.0,1.0,63,17,6,2,1,0.831632492949443,false,,,,,59,340266.333333333,167,,3,,,3,,,3,,,0.000528262017960909,0.445192815636556,0.445192815636556,80,TRUE,TRUE,0.0125,0
880,6478554f531f6ee2fa86226fbc79dd31e556bc06,1395200662,1.0,1.0,140,3,8,7,1,0.816481797122901,false,,,,,144,602871.125,505,,15,,,15,,,10,,,0.00144054478784704,0.126506024096386,0.126506024096386,143,TRUE,TRUE,0.006993006993006993,0
890,6594746108afa2db39ca2973b3dd0c37611f955e,1400832680,1.0,1.0,127,1,5,5,1,0.499299147927172,false,,,,,206,1166794,894,,0,,,0,,,0,,,0.000125093820365274,0.152489367025269,0.152489367025269,128,TRUE,TRUE,0.0078125,0
908,67611ea28c1095a220891bf9241a5e432e213121,1398117542,1.0,0.0,3,8,1,1,1,0,false,,,,,17,3981989,65,,89,,,73,,,83,,,0.0529300567107751,0.785129174543163,0.800252047889099,11,TRUE,FALSE,0.09090909090909091,0
924,6932d6b94fb6c131c8cff76e28a7d8af342ab827,1320178828,1.0,0.0,348,555,1,1,1,0,false,,,,,4,604960,3,,18,,,18,,,16,,,0.117241379310345,0.36551724137931,0.43448275862069,903,TRUE,FALSE,0.0011074197120708748,0
968,6e5f6041a38ddb0b2643dff66d264f3594f1a875,1394651115,1.0,1.0,45,24,2,2,1,0.88654089282209,false,,,,,39,71562,64,,720,,,614,,,212,,,0.0280891467756824,0.24423051562706,0.26097850454965,69,TRUE,TRUE,0.014492753623188406,0
982,7070e4a66f576b2e6e4a4f1121445200e7854942,1398732798,1.0,1.0,275,15,10,8,1,0.728296645729019,false,,,,,145,347243.5,459,,11,,,11,,,3,,,0.000506906602458497,0.173995691293879,0.173995691293879,290,TRUE,TRUE,0.0034482758620689655,0
992,7172ccbed4585104d8f080159983b2feba86d100,1397401720,1.0,0.0,4,4,2,2,1,0.811278124459133,false,,,,,53,1418327.5,100,,5,,,4,,,3,,,0.00051242633871381,0.132205995388163,0.132590315142198,8,TRUE,FALSE,0.125,0
1014,7360e67d32dbd8c98ef59c46bf0c7fff16f48d0c,1394584410,1.0,1.0,3,10,1,1,1,0,false,,,,,11,1733076,15,,19,,,19,,,19,,,0.0211640211640212,0.318518518518518,0.329100529100529,13,TRUE,TRUE,0.07692307692307693,0
1078,7ca4bea7e3d8688c847bdbcfe3e60900c61c297c,1395231176,1.0,1.0,210,6,3,2,1,0.469617636131526,false,,,,,10,1238441,27,,8,,,8,,,8,,,0.00586319218241042,0.938762214983713,0.939413680781759,216,TRUE,TRUE,0.004629629629629629,0
1081,7cca5a8ff7f559da60c03405f69f78a42c763b61,1319221091,1.0,0.0,18,0,3,1,1,0.707974905777612,false,,,,,1,621841.666666667,1,,49,,,49,,,36,,,0.333333333333333,0.414414414414414,0.504504504504504,18,TRUE,FALSE,0.05555555555555555,0
1085,7d1b4117fda7709307a35e56625cfa7709a6b795,1396562051,1.0,0.0,30,3,3,3,1,0.650126713205169,false,,,,,143,188997.666666667,363,,2872,,,2223,,,2122,,,0.274395760630735,0.491921933565982,0.492568178880703,33,TRUE,FALSE,0.030303030303030304,0
1097,7e2b93acc59dea81d52684f7f659fcff32507e14,1351045848,1.0,0.0,94,13149,84,23,3,0.807240157597462,false,,,,,179,166883.607142857,1058,,1292,,,1282,,,1213,,,0.423439134984304,0.208929194279735,0.531914893617021,13243,TRUE,FALSE,7.551159102922299E-5,0
1108,7f096512bbccee92da24e8f408f1d7f4f100cc95,1394633070,1.0,0.0,45,38,8,4,1,0.978932445838046,false,,,,,5,42660,6,,200,,,197,,,175,,,0.185068349106204,0.80651945320715,0.827549947423764,83,TRUE,FALSE,0.012048192771084338,0
1115,7f9c6259923747f0629166dc85561b0ab231ff70,1396782505,1.0,1.0,14,1,2,2,1,0.566509506552905,false,,,,,17,3680655,20,,65,,,65,,,56,,,0.0518653321201092,0.780709736123749,0.787989080982712,15,TRUE,TRUE,0.06666666666666667,0
1128,8230533824fd170498e51b43dd2f20e6af410c53,1322528447,1.0,0.0,3,11,3,3,1,0.903213977385558,false,,,,,23,378279,38,,99,,,99,,,66,,,0.238434163701068,0.736654804270463,0.747330960854093,14,TRUE,FALSE,0.07142857142857142,0
1211,8babd6a99014ccaf51d955769eaec085e037cc76,1394573377,1.0,1.0,97,1,2,2,1,0.371232326640876,false,,,,,52,497418.5,97,,382,,,164,,,102,,,0.0135991550039609,0.201082651175073,0.212833377343544,98,TRUE,TRUE,0.01020408163265306,0
1239,8fa190c0d4ede0acc8ed4a462a5ebb751380143c,1394691234,1.0,1.0,30,14,2,2,1,0.994030211476956,false,,,,,161,126169,500,,59,,,59,,,57,,,0.00764465533148807,0.444708053248978,0.446816923685251,44,TRUE,TRUE,0.022727272727272728,0
1285,953decea071ac80cc1c2e1d1411e372c7e85dbd0,1402049545,1.0,0.0,429,0,2,2,1,0.99990201044162,false,,,,,0,0,0,,0,,,0,,,0,,,0.000808407437348424,0.708973322554567,0.708973322554567,429,TRUE,FALSE,0.002331002331002331,0
1289,95d4cae2de7caba9733df4b42cb6c24460721181,1396332793,1.0,0.0,366,117,20,2,1,0.822832954649293,false,,,,,46,1357099.4,107,,1023,,,773,,,958,,,0.124238891048063,0.524808913071641,0.589843243943516,483,TRUE,FALSE,0.002070393374741201,0
1295,968c01afe7ff43346f5817e2a3adf97fd03106b1,1394145348,1.0,0.0,74,3,2,2,1,0.684038435639042,false,,,,,45,921252,79,,1,,,1,,,0,,,0.000132802124833997,0.229083665338645,0.229083665338645,77,TRUE,FALSE,0.012987012987012988,0
1317,990d596ec09242733f8bc3669b70136ca6741d6e,1400271525,1.0,0.0,446,333,9,8,1,0.863726097902431,false,,,,,48,177120,85,,62,,,53,,,39,,,0.0324149108589951,0.221231766612642,0.246353322528363,779,TRUE,FALSE,0.0012836970474967907,0
1344,9bfc5b0bf58ecb7de5904cbd41db6de7330187e3,1397858835,1.0,0.0,69,2,2,2,1,0.655444444560985,false,,,,,25,652895.5,62,,477,,,474,,,457,,,0.289141414141414,0.47979797979798,0.607954545454545,71,TRUE,FALSE,0.014084507042253521,0
1354,9da60d0a417dd70c16ae34f5877c564e425e4cf8,1396389737,1.0,1.0,3,12,2,2,1,0.970950594454669,false,,,,,31,55877,53,,1194,,,1022,,,731,,,0.686035613870665,0.822867853795689,0.84348641049672,15,TRUE,TRUE,0.06666666666666667,0
1363,9eefebf8d4e9867fd8ef6a362024b91660003701,1396993129,1.0,0.0,7,20,5,3,1,0.937476347596593,false,,,,,44,79735,97,,1186,,,1010,,,726,,,0.650850492390331,0.410922112802149,0.821844225604297,27,TRUE,FALSE,0.037037037037037035,0
1419,a581823ecee286c5c6329c9c373f0fea0b6b729f,1397354301,1.0,0.0,32,0,2,2,1,0.997180398894264,false,,,,,41,5251930,61,,11,,,9,,,11,,,0.00153767298821117,0.334315735520246,0.334828293182983,32,TRUE,FALSE,0.03125,0
1443,a79ecbeb7d74ca2a71eaf47e410226833b1c0388,1393915078,1.0,0.0,37,0,2,2,1,0.974024864435752,false,,,,,205,20236.5,1144,,2130,,,1692,,,2031,,,0.270752831445703,0.317121918720853,0.484077281812125,37,TRUE,FALSE,0.02702702702702703,0
1450,a7e018e8c76d6805dc0e857f24c64e3223224ae8,1394565013,1.0,0.0,108,242,4,2,1,0.911322735550153,false,,,,,47,50,86,,1130,,,951,,,1111,,,0.146934460887949,0.38649577167019,0.456131078224101,350,TRUE,FALSE,0.002857142857142857,0
1528,b12e38327af83f44cc8e38a23d16bb51a2346f57,1396927523,1.0,1.0,4,1,2,1,1,0.721928094887362,false,,,,,8,2759652,15,,68,,,68,,,59,,,0.0540540540540541,0.745945945945946,0.76036036036036,5,TRUE,TRUE,0.2,0
